ID,Station,Latitude,Longitude
175,U Gleisdreieck,52.499567,13.374084
274,U Gneisenaustr.,52.491268,13.3957
170,U Görlitzer Bahnhof,52.499292,13.428277
279,U Grenzallee,52.462871,13.444733
309,U Güntzelstr.,52.492049,13.330903
263,U Halemweg,52.536571,13.286271
173,U Hallesches Tor,52.497812,13.390351
308,U Hansaplatz,52.517873,13.341988
259,U Haselhorst,52.538635,13.233127
188,U Hausvogteiplatz,52.513393,13.395562
299,U Heinrich-Heine-Str.,52.51012,13.415704
219,U Hellersdorf,52.536737,13.606564
276,U Hermannplatz,52.486364,13.424162
204,U Hohenzollernplatz,52.494188,13.324858
236,U Holzhauser Str.,52.575658,13.296031
217,U Hönow,52.538482,13.633161
264,U Jakob-Kaiser-Platz,52.536186,13.293646
283,U Johannisthaler Chaussee,52.42928,13.453239
197,U Kaiserdamm,52.510113,13.283103
252,U Kaiserin-Augusta-Str.,52.459982,13.384567
278,U Karl-Marx-Str.,52.476514,13.439167
222,U Kaulsdorf-Nord,52.520904,13.588849
221,U Kienberg (Gärten der Welt),52.528538,13.590471
273,U Kleistpark,52.490297,13.360266
185,U Klosterstr.,52.517186,13.412317
247,U Kochstr./Checkpoint Charlie,52.506032,13.390528
269,U Konstanzer Str.,52.494524,13.309008
171,U Kottbusser Tor,52.499051,13.418395
213,U Krumme Lanke,52.443589,13.241477
179,U Kurfürstendamm,52.504056,13.332587
176,U Kurfürstenstr.,52.500152,13.361504
239,U Kurt-Schumacher-Platz,52.563206,13.327032
303,U Leinestr.,52.473426,13.428058
243,U Leopoldplatz,52.546389,13.359121
289,U Lindauer Allee,52.575354,13.33911
284,U Lipschitzallee,52.424611,13.462666
218,U Louis-Lewin-Str.,52.539037,13.618307
227,U Magdalenenstr.,52.512532,13.486997
186,U Märkisches Museum,52.512387,13.410151
248,U Mehringdamm,52.494625,13.388864
191,U Mendelssohn-Bartholdy-Park,52.503806,13.374862
265,U Mierendorffplatz,52.526226,13.30479
174,U Möckernbrücke,52.499129,13.382661
190,U Mohrenstr.,52.511816,13.38511
300,U Moritzplatz,52.503676,13.410615
314,U Museumsinsel,52.517402,13.39825
246,U Naturkundemuseum,52.531269,13.382101
304,U Nauener Platz,52.551666,13.367384
199,U Neu-Westend,52.516281,13.259258
177,U Nollendorfplatz,52.499966,13.354616
200,U Olympia-Stadion,52.51689,13.250817
212,U Onkel Toms Hütte,52.449928,13.253036
168,U Oranienburger Tor,52.524409,13.387608
211,U Oskar-Helene-Heim,52.450412,13.268979
293,U Osloer Str.,52.557098,13.373196
237,U Otisstr.,52.570991,13.30285
294,U Pankstr.,52.55224,13.381422
290,U Paracelsus-Bad,52.574106,13.349019
250,U Paradestr.,52.478191,13.386172
281,U Parchimer Allee,52.444778,13.449536
260,U Paulsternstr.,52.537931,13.247534
249,U Platz der Luftbrücke,52.485948,13.385808
208,U Podbielskiallee,52.464067,13.29548
172,U Prinzenstr.,52.498406,13.405401
277,U Rathaus Neukölln,52.481765,13.433958
288,U Rathaus Reinickendorf,52.588381,13.325626
216,U Rathaus Schöneberg,52.483032,13.341946
241,U Rehberge,52.556593,13.34099
244,U Reinickendorfer Str.,52.540046,13.370176
291,U Residenzstr.,52.571106,13.360435
266,U Richard-Wagner-Platz,52.516645,13.306512
261,U Rohrdamm,52.536926,13.262347
184,U Rosa-Luxemburg-Platz,52.527701,13.410374
297,U Rosenthaler Platz,52.53038,13.400626
313,U Rotes Rathaus,52.518802,13.407888
206,U Rüdesheimer Platz,52.473373,13.314366
287,U Rudow,52.416279,13.495085
201,U Ruhleben,52.525702,13.241328
228,U Samariterstr.,52.514787,13.464537
238,U Scharnweberstr.,52.56677,13.312586
232,U Schillingstr.,52.520931,13.420841
169,U Schlesisches Tor,52.500747,13.441051
312,U Schloßstr.,52.460629,13.324477
301,U Schönleinstr.,52.493448,13.421725
245,U Schwartzkopffstr.,52.535449,13.376863
242,U Seestr.,52.549731,13.353007
183,U Senefelderplatz,52.532443,13.412596
262,U Siemensdamm,52.536699,13.27271
196,U Sophie-Charlotte-Platz,52.510895,13.29582
203,U Spichernstr.,52.496901,13.331995
187,U Spittelmarkt,52.511348,13.403697
189,U Stadtmitte,52.512199,13.390543
231,U Strausberger Platz,52.518144,13.431554
275,U Südstern,52.489216,13.407672
198,U Theodor-Heuss-Platz,52.50992,13.272617
225,U Tierpark,52.49776,13.523072
307,U Turmstr.,52.526136,13.341178
180,U Uhlandstr.,52.502832,13.32693
253,U Ullsteinstr.,52.453741,13.384397
315,U Unter den Linden,52.51704,13.389059
214,U Viktoria-Luise-Platz,52.496288,13.34338
181,U Vinetastr.,52.559182,13.413159
295,U Voltastr.,52.542101,13.392932
311,U Walther-Schreiber-Platz,52.466103,13.328178
230,U Weberwiese,52.516804,13.444683
298,U Weinmeisterstr.,52.525435,13.404988
254,U Westphalweg,52.446268,13.385619
267,U Wilmersdorfer Str.,52.506353,13.306655
178,U Wittenbergplatz,52.501927,13.343056
285,U Wutzkyallee,52.423277,13.474655
258,U Zitadelle,52.537627,13.217515
286,U Zwickauer Damm,52.423252,13.483727
