ID,Station,Latitude,Longitude
160,U Deutsche Nationalbibliothek,50.1314320486359,8.68393893667794
161,U Hauptfriedhof,50.1362878050009,8.68431264848082
162,U Marbachweg/Sozialzentrum,50.1422941362252,8.68462292867165
163,U Gießener Straße,50.143587804726,8.69097968967636
164,U Theobald-Ziegler-Straße,50.1477480215174,8.69012748252931
165,U Ronneburgstraße,50.1507646937134,8.68861092153642
166,U Sigmund-Freud-Straße,50.1549207099983,8.68620519744139
167,U Preungesheim,50.1585207276356,8.68766503600601
168,U Hausen,50.1382861472143,8.62461263110021
169,U Große Nelkenstraße,50.1329311250846,8.62840283094278
170,U Industriehof,50.1289965148763,8.62938424920706
171,U Kirchplatz,50.1250758690854,8.63766513819756
172,U Leipziger Straße,50.1225833272228,8.64569643766405
173,U Westend,50.1181304750261,8.66295525060578
174,U Alte Oper,50.1154292057818,8.67091559030239
175,U Zoo,50.1155133075297,8.69864009009925
176,U Frankfurt Ostbahnhof,50.1127226048873,8.70775891466154
177,U Heerstraße,50.1443519809334,8.60748368905621
178,U Friedhof Westhausen,50.139396218179,8.61221027539129
179,U Stephan-Heise-Straße,50.1355960038464,8.61572376753029
180,U Hausener Weg,50.1315633109396,8.6196581250126
181,U Fischstein,50.1293419081631,8.6249482072356
182,U Habsburgerallee,50.1174351978282,8.70842938772991
183,U Parlamentsplatz,50.11961187757,8.71245715791945
184,U Eissporthalle/Festplatz,50.1234539749403,8.71745433555319
185,U Johanna-Tesch-Platz,50.1279081571107,8.72665825915436
186,U Riedberg,50.1789117844019,8.63553681797141
187,U Uni Campus Riedberg,50.1754907215268,8.62833937207145
188,S Mühlheim (Main),50.1193150268462,8.83817530752825
189,S Mühlheim-Dietesheim,50.1207104754766,8.86057117020071
190,S Hanau-Steinheim,50.1216027711501,8.90826501476116
191,S Hanau Hauptbahnhof,50.1213471231763,8.92841506580465
