Haltestelle;Name;Kurzname;Haltestellenbereich;XKoordinate;YKoordinate;Betriebsbereich;Linien
2721;Rudolfplatz;RDP;27;6.93965;50.93551;BUS;136 146
2722;Rudolfplatz;RDP;27;6.93929;50.93629;BUS;136 146
2811;Moltkestr.;MOL;28;6.93229;50.93557;STRAB;1 7
2812;Moltkestr.;MOL;28;6.93307;50.93651;STRAB;1 7
2819;Moltkestr.;MOL;28;6.93133;50.93653;STRAB;
2821;Moltkestr.;MOL;28;6.93274;50.93532;BUS;136 146
2822;Moltkestr.;MOL;28;6.93248;50.93608;BUS;136 146
2831;Moltkestr.;MOL;28;6.93216;50.93549;BUS;
2832;Moltkestr.;MOL;28;6.9334;50.93653;BUS;
2921;Roonstr.;ROO;29;6.93404;50.93332;BUS;136 146
2922;Roonstr.;ROO;29;6.93382;50.93266;BUS;136 146
3011;Friesenplatz;FSP;30;6.93983;50.94053;STRAB;3 4 5
3012;Friesenplatz;FSP;30;6.93912;50.9407;STRAB;3 4 5
3013;Friesenplatz;FSP;30;6.94008;50.94083;STRAB;12 15
3014;Friesenplatz;FSP;30;6.93987;50.94025;STRAB;12 15
3021;Friesenplatz;FSP;30;6.93897;50.94062;BUS;172 173
3022;Friesenplatz;FSP;30;6.93877;50.94078;BUS;172 173
3211;Christophstr./Mediapark;CPH;32;6.94292;50.94506;STRAB;12 15
3212;Christophstr./Mediapark;CPH;32;6.94231;50.94464;STRAB;12 15
3321;Gewerbegebiet Feldkassel;GWF;33;6.91643;51.03955;BUS;124
3322;Gewerbegebiet Feldkassel;GWF;33;6.91636;51.03949;BUS;124
3411;Reichenspergerplatz;RPP;34;6.9653;50.95441;STRAB;16 18
3412;Reichenspergerplatz;RPP;34;6.96454;50.95415;STRAB;16 18
3421;Reichenspergerplatz;RPP;34;6.96465;50.95409;BUS;140
3422;Reichenspergerplatz;RPP;34;6.96426;50.95417;BUS;140
3423;Reichenspergerplatz;RPP;34;6.96344;50.95413;BUS;184
3511;Ebertplatz;EBP;35;6.95954;50.95101;STRAB;16 18
3512;Ebertplatz;EBP;35;6.95878;50.95044;STRAB;12 15
3513;Ebertplatz;EBP;35;6.95943;50.95102;STRAB;12 15
